text,intent
hace aproximado tres meses me encuentro sin servicios en mi linia telefonica,Ninguna
Consumo de datos y minutos de preplan,Ninguna
Hola quería saber cómo cancelar mi plan móvil,Ninguna
mi telefono esta sin cervicio,Ninguna
Hola quiero eliminar movistar play full,Ninguna
Tengo una deuda,Ninguna
Hice una recarga y aún no puedo hablar  Me dice que la línea está suspendida,Ninguna
hola tengo una duda debía un mes de cuenta y lo eh pagado con el monto facturado de este mes mi duda cuanto se demora en que me restablezcan el servicio,Ninguna
plan hogar cuando me lo restablecen,Ninguna
Necesito saber si van avenir a ver el problena si no para tomar otra desicion tenemos urgencias q atender,Ninguna
mira contrate un plan de 15000 pesos ,Ninguna
deuda hogar,Ninguna
Hoy me llamaron de Movistar ofreciéndome más minutos y más gigas ,Ninguna
Hola tengo un requerimiento  de reclamo,Ninguna
Como puedo llamar para reclamar desde un movil de otra conpañia,Ninguna
Quiero saber por qué mi celular está aún sin servicio,Ninguna
Podría verificarlo,Ninguna
Necesito desbloquear mi equipo,Ninguna
quiero saber si tengo puntos movistar ,Ninguna
quiero saber mi csumo,Ninguna
Hola no tengo internet en mi equipo ,Ninguna
Hola Quiero consultar sobre un equipo nuevo manteniendo el mismo número que igual es movistar,Ninguna
Como lo puedo aser para contactarme con la línea hogar,Ninguna
659625368499,Ninguna
no tengo celular ,Ninguna
Tengo un plan trio por 28990,Ninguna
necesito pagar mi cuenta de internet ,Ninguna
Quiero activar mi chip,Ninguna
Buenas noxe necesito bloquear mi chip con teléfono de mi plan,Ninguna
Bloquear chip a q n tengo q llamar,Ninguna
Lista de llamas q hace del teléfono 947974033,Ninguna
Hola mi nombre es mario Cuellar tengo contratado internet hogar con ustedes y no tengo servicio,Ninguna
Me pide que ingrese un numero,Ninguna
Me pide que ingrese un numero,Ninguna
Estoy intentando comprar un teléfono en el oulet pero me dice que no hay shock  Y en la página indica que si hay stock,Ninguna
Estoy intentando comprar un teléfono en el oulet pero me dice que no hay shock Y en la página indica que si hay stoc,Ninguna
Internet,Ninguna
Activa mi plan,Ninguna
quiero dar de baja el servicio ,Ninguna
Hola a que sucursal puedo ir para modificar mi plan hogar ,Ninguna
El dispositivo mosvistar no me deha realizar llamadas,Ninguna
Hola Me llegó una boleta con 8000 y fraccion,Ninguna
No puedo realizar llamadas,Ninguna
tengo un problema con mi facturacion,Ninguna
Esque olvide mi contraseña,Ninguna
necesito el numero para poder comunicarme con algun ejecutivo,Ninguna
Necesito liberar mi numero que antes pertenecía a numero empresa,Ninguna
lo que sucede es que estoy a punto de pagar mi boleta pero me doy cuenta que me estan cobrando una diferencia que no se de que es,Ninguna
donde busco resumen de pagos de telefonia movil,Ninguna
Como recargo mi banda ancha movil,Ninguna
NECESITO INSCRIBIR MI CELULAR,Ninguna
COMO DEBO LLENAR EL FORMULARIO PARA INSCRIBIR UN CELULAR EXTRANJERO,Ninguna
Clave internet,Ninguna
Clave app movistar,Ninguna
Necesito la boleta,Ninguna
No puedo ingresar porke el correo y el numero de telefono no son validos,Ninguna
Pff,Ninguna
necesito saber cuando se inician mi plan de internet hogar,Ninguna
pasa que dimito mi numero y no lo reconoce dice que no es de movistar,Ninguna
Buenos días cómo puedo incorporar la cuenta de netflix a mi cuenta de movistar,Ninguna
necesito obtener un codigo de descuento para compra de entradas,Ninguna
Me porte a entel hace algunos meses no tengo señal entel porque me dicen que Movistar me tiene bloqueado el número ,Ninguna
NO OPUEDO ACTIVAR OPCIION FULL DE MOVISTAR PLAY,Ninguna
Hola he intentando con dos chips movistar nuevos realizar la portabilidad y dice que el chip numero no sirve,Ninguna
Hola quisiera saber si puedo optar a equipo,Ninguna
Tengo problemas con la conexion de mi internet hogar debe ser una velocidad de 200mb y tengo 10mb,Ninguna
Activar rouming,Ninguna
Internet en el extranjero,Ninguna
Hola necesito solicitar un control remoto para un deco,Ninguna
Hola no puedo activar Movistar play,Ninguna
hola queria hacer uso del antivirus mcafee pero al intentar  descargarlo me aparece el siguiente mensaje Se ha producido un error en el sistema Vuelva a intentarlo,Ninguna
Hola quisiera saber si se puede pagar un mes de la cuenta de celular,Ninguna
Tengo una deuda que me están cobrando sin ser parte de movistar,Ninguna
No tengo teléfono fijo e Internet,Ninguna
