text,intent
Me cortaron el servicio por un monto no pagado según ustedes pero fue cancelado el viernes pasado y el monto que me cobran es el descuento que isieron,HANDOVER_RECLAMOS
Hola buenas tardes quiero saber donde puedo bajar la licencia gratuita de antivirus con el que viene mi plan,KGB_INSTAMCAFEEBANDAANCHA
Cómo puedo terminar mi contrato móvil,HANDOVER_BAJA
Y quiero pedir una prórroga,KGB_PRORROGA
me gustaria rebajar mi plan de telefonia mobil como lo hago ,KGB_SOLCAMBIPLAN
necesito saber mi deuda actuak,DEUDA_FIJO_MOVIL
cual es la deuda de mi telefono fijo,DEUDA_FIJO_MOVIL
Quiero mi última boleta,COPIA_BOLETA_FIJO_MOVIL
Qué pasó con mi plan,DETALLE_PLAN_FIJO_MOVIL
Queria consultar sobre un equipo a costo 0,HANDOVER_RECLAMOS
quiero saber si en mi zona existe planes con fibra,VENTAS_C2C
Ayer me sacaron un plan de 9990 cuanto se demora en activarse correctamente,REINICIO_PLAN
Y cuanto cuan pagar los 9990 si me llegará la boleta O menos,COPIA_BOLETA_FIJO_MOVIL
Quiero saber si tengo internet,CONSUMO_DATOS_FIJO
quiero comprar un samsung galaxy a5,KGB_COMPRAREQUIPOMOVICL
quiero un equipo,KGB_COMPRAREQUIPOMOVICL
Hola por favormi cuenta y su fecha de vencimiento,KGB_VENCIMIENTOCUENTA
Bloquear equipo con plan,DETALLE_PLAN_FIJO_MOVIL
Quisiera saber si tienen telefonos costo cero con planes,VENTAS_C2C
Estoy sin internet desde el 31 de julio,HANDOVER_RECLAMOS
Buenas tardes Tenemos problemas con el teléfono fijo No tiene tono hace días Estuve llamado al teléfono de atención pero no recibí respuesta,HANDOVER_RECLAMOS
no me acuerdo de mi clave sucursal virtual,KGB_CAMBIARCLAVESVAPPMOVI
necesito saber cuando se reincida mi pla de internet hogar,CONSUMO_DATOS_FIJO
la fecha de inicio de mi plan de internet entonces comenzó hoy,REINICIO_PLAN
Necesito bloquear mi teléfono perdido,KGB_BLOQUEARCELIUPERDIROBO
Revisión término de contrato,HANDOVER_BAJA
Hola tengo un problema con mi chip,KGB_COMPRARCHIPMOVI
Hice una recarga a las 11 de la mañana y no me la dieron,KGB_DETALLERECARGASPREPAGO
quiero revisar mi contrato de internet television y telefonia,VENTAS_C2C
Saldo de mi preplan,CONSUMO_SALDO_PREPAGO
Historial datos,CONSUMO_DATOS_MOVIL
Hola necesito saber el monto a pagar de mi cuenta este mes que aún no me llega,DEUDA_FIJO_MOVIL
Número telefónico para dudas y mejora de Movistar hogar,KGB_CAMBIONUMTELEFONO
Mi internet no funciona  donde tengo que llamar ,HANDOVER_RECLAMOS
Quiero consultar por un cambio de tarifa en mi plan de internet,VENTAS_C2C
Además quiero consultar por planes de televisión por cable,VENTAS_C2C
Mira hoy dia hice el pago de mi factura y me tenho internet y minutos,REINICIO_PLAN
cual es mi saldo,CONSUMO_SALDO_PREPAGO
qero cambiar de prepago a plan,KGB_PASARPREPAGOPLAN
qe contraseña es la q me pides,KGB_CAMBIARCLAVESVAPPMOVI
qero saver si me cambio a plan,KGB_SOLCAMBIPLAN
Quisiera solicitar una prórroga por mi última boleta,KGB_PRORROGA
necesito saber el saldo de mi telefono,CONSUMO_SALDO_PREPAGO
Quisiera activar mi número para llamar al extranjero,KGB_MARCARDENTRODECHILE
Hola quiero confirmar la baja de mi banda ancha hogar,CONSUMO_DATOS_FIJO
No tengo contraseña para sucursal virtual,KGB_REGISTRARSV
buenas tardes habrá alguna posibilidad de mantener el descuento a mi plan ya que caduco en  el mes de Julio en el cual tuve que cancelar 18000 el cual en estos momento lo encuentro muy elevado  ya que estoy pasando  por un mal momento enconomico,REINICIO_PLAN
buenas tardes habrá alguna posibilidad de mantener el descuento a mi plan ya que caduco en el mes de Julio en el cual tuve que cancelar 18000 el cual en estos momento lo encuentro muy elevado ya que estoy pasando por un mal momento enconomico,REINICIO_PLAN
Hola necesito volver activar el Movistar play,KGB_ACTMOVPLAY
Qué puedo hacer para seguir para tener el mismo número en Movistar,KGB_CAMBIONUMTELEFONO
Hola buenos días Mi celular fue comprado en Movistar Colombia Y me lo bloquearon  porque pasó más de un mes para el proceso de registro Dónde puedo desbloquearlo y cómo,KGB_CELUEXTRANJERO
Buenas necesito mi boleta de movistar hogar,COPIA_BOLETA_FIJO_MOVIL
Como pedir una prorroga,KGB_PRORROGA
necesito saber cuanto es el valor que me falta por pagar  por los dos celulares que tengo en mi cuenta,DEUDA_FIJO_MOVIL
Me puedes ayudar a saber el porqué de este problema ,DEUDA_FIJO_MOVIL
cual es mi deuda,DEUDA_FIJO_MOVIL
Necesito activar mi sim,KGB_ACTIVARPREPAGO
quisiera saber cual es mi plan,DETALLE_PLAN_FIJO_MOVIL
estoy cotizando servicio de television,VENTAS_C2C
hola se consumen los gigasde mi celular si miro un video de 1 o 2 horas,CONSUMO_DATOS_MOVIL
buenas trades necesito que me envien el detalle de la cuenta la verdad que no se a que correo me esta llegando si lo envian a un correo distinto de rodrigoyangmail favor cambiar,KGB_BOLETAEMAIL
Lo que pasa que es que tengo una deuda vencida de 50900,DEUDA_FIJO_MOVIL
Necesito ver el motibo de xq no me dan la línea 961093550,KGB_CAMBIARLINEA
Me puede  dar el motivo de xq no me dan esa línea que le consulto,KGB_CAMBIARLINEA
quiero un telefono de contaco,VENTAS_C2C
No puedo ver mi saldo,CONSUMO_SALDO_PREPAGO
Quisiera saber si tengo deuda asociada a mi rut,DEUDA_FIJO_MOVIL
necesito internet internacional,VENTAS_C2C
Hola quiero contratar un plan,VENTAS_C2C
Hola consulta como puedo adquirir un equipo telefónico fijo ya que contrate Internet y telefonía pero no tengo equipo gracias,HANDOVER_RECLAMOS
No tengo la contraseña de sucursal virtual,KGB_REGISTRARSV
Hola quiero dar de baja un servicio,HANDOVER_BAJA
Hola dice hoy se vence plan y recargue pero no se si se me Descuenta automatico o realice mal la recarga y no tengo otro medio para cancelar dice que tengo 15 mil de saldo y mi deuda es de 9990,REINICIO_PLAN
Pagar plan con saldo en mi cuenta,KGB_QUIEROPAGAR
Como pagar mi cuenta con saldo disponible,KGB_LUGARPAGOMOVI
hola quiero cambiar el numero de telefono vinculado a mi rut,KGB_CAMBIONUMTELEFONO
Traspasar mi plan a otro numero,DETALLE_PLAN_FIJO_MOVIL
Pero yo como pongo la contraseña si yo no tengo eso,KGB_CAMBIARCLAVESVAPPMOVI
el router smart wifi ,KGB_CONECTAWIFIMOVIL
el router smart wifi tiene planes,VENTAS_C2C
Deseo bajar mi plan hogar,VENTAS_C2C
Quiero dar de baja el servicio de movistar,HANDOVER_BAJA
Necesito pagar una cuenta ,KGB_QUIEROPAGAR
Hola vengo llegando a chile y mi equipo se encuentra bloqueado por imei,KGB_MARCARDENTRODECHILE
Hola buenas tardes Me puede ayudar con mi Internet hogar,HANDOVER_RECLAMOS
necesito internet inalambrico,VENTAS_C2C
Estado de cuenta,COPIA_BOLETA_FIJO_MOVIL
Necesito prorroga de pago de Internet hogar,KGB_PRORROGA
cambio de titularidad,KGB_CAMBIARLINEA
necesito eliminar mi cuenta,DEUDA_FIJO_MOVIL
consumo minutos,CONSUMO_MINUTOS_MOVIL
consumo minutos,CONSUMO_MINUTOS_MOVIL
Quiero contratar un plan,VENTAS_C2C
Quiero contratar un plan,VENTAS_C2C
Quiero contratar un plan,VENTAS_C2C
Quiero contratar un plan,VENTAS_C2C
necesito boleta,COPIA_BOLETA_FIJO_MOVIL
convenio de pago,KGB_LUGARPAGOMOVI
Holavoy a viajar al extranjero necesito saber como funcionan las llamadas,KGB_MARCARDENTRODECHILE
Hola lo que nesecito es bloquear el chip porque me robaron mi celular,KGB_BLOQUEARCELIUPERDIROBO
Necesito dar de baja un servicio,HANDOVER_BAJA
Necesito informacion de Comparte tus gigas,KGB_COMPARTOGIGAS
Necesito conocer comparte tus gigas,KGB_COMPARTOGIGAS
Quiero conocer Bundle Roaming,KGB_USARCELUFUERACHILE
hola mi papa perdio su celular y quiere saber que debe hacer para bloquear su chip,KGB_COMPRARCHIPMOVI
Quiero renovar mi celular,CONSUMO_DATOS_MOVIL
renunciar,HANDOVER_BAJA
quiero ser el titular de mi linea prepago,KGB_CAMBIARLINEA
no puedo ingresar al chat ,HANDOVER_SOLICITUDES
ver el detalle de mi  ultima factura,KGB_DETALLE_PLANAPPMOVI
Activar el chip,KGB_ACTIVARPREPAGO
Sobre el plan,DETALLE_PLAN_FIJO_MOVIL
Cambio de plan,KGB_SOLCAMBIPLAN
hola quiero eliminar el plan por favor,DETALLE_PLAN_FIJO_MOVIL
Hola quisiera hacer preguntas con respecto a mi plan,DETALLE_PLAN_FIJO_MOVIL
Hola quisiera saber todos ps servicios que he contratado,DEUDA_FIJO_MOVIL
necesito validad dada baja internet hogar,HANDOVER_BAJA
Necesito sacar un equipo,KGB_COMPRAREQUIPOMOVICL
rompi el telefono fijo ,KGB_TELEFONIAINALAMOVI
Hola soy MOVISTAR ONE y quiero cambiar mi equipo,KGB_RECAMBIOEQUIPOMIVIONE
quisiera saber si puedo renovar mi equipo,DEUDA_FIJO_MOVIL
quisiera saber si puedo renovar mi equipo,DEUDA_FIJO_MOVIL
quisiera saber si puedo renovar mi equipo,DEUDA_FIJO_MOVIL
quisiera saber si puedo renovar mi equipo,DEUDA_FIJO_MOVIL
como puedo hacer para renovacion de equipo,KGB_RECAMBIOEQUIPOMIVIONE
necesito contratar internet,VENTAS_C2C
hola necesito cancelar una cuenta,KGB_QUIEROPAGAR
boleta,COPIA_BOLETA_FIJO_MOVIL
Necesito cancelar mi plan de celular,DETALLE_PLAN_FIJO_MOVIL
Como lo puedo hacer si se me olvido mi contraseña de la sucursal movistar,KGB_CAMBIARCLAVESVAPPMOVI
Quiero contratar un plan,VENTAS_C2C
quiero contratar el pack trio cuantos decos vienen en la promocion,VENTAS_C2C
Tengo sooo wi fi y necesito pagar como lo hago sooo con mi rut,KGB_QUIEROPAGAR
Estoy fuera de Chile,KGB_MARCARDENTRODECHILE
hola buenas tarde nesecito cortar mi internet hogara ya que me cambiare de domicilio,KGB_CAMBIARDOMICILIOSERVFIJO
Como la contraseña de la sucursal virtual como es eso,KGB_REGISTRARSV
Hola buenas noches sabe este mes me subio mucho la cuenta del telefono y quisiera saber el por que,DEUDA_FIJO_MOVIL
Hola quiero pedir proroga,CONSULTA_SOS
pago de cuenta,KGB_LUGARPAGOMOVI
Se puede pagar la boleta mas atrasada o es necesario pagar las dos boletas juntas,KGB_QUIEROPAGAR
Por ultimo La suspension de mi equipo queria saber si podria ser a fin de mes ya que ahora tengo problemas economicos y podre pagar la boleta mas atrasada a fin de mes o durante la proxima semana,KGB_CAMBIARPASSWIFIRED
Por ultimo La suspension de mi equipo queria saber si podria ser a fin de mes ya que ahora tengo problemas economicos y podre pagar la boleta mas atrasada a fin de mes o durante la proxima semana,KGB_CAMBIARPASSWIFIRED
quiero actualizar mi plan,DETALLE_PLAN_FIJO_MOVIL
cancele mi cuenta por internet se desconto de mi banco pero la pagina de ustedes se cayo y ingrese nuevamete y me dice pendiente,REINICIO_PLAN
cancele mi cuenta por internet se desconto de mi banco pero la pagina de ustedes se cayo y ingrese nuevamete y me dice pendiente,REINICIO_PLAN
necesto pagar la cuenta de mi celular,KGB_LUGARPAGOMOVI
Quiero dejar el plan,VENTAS_C2C
No puedo hacer llamadas me dice red no disponible,HANDOVER_RECLAMOS
i boleta de este mes de Agosto,COPIA_BOLETA_FIJO_MOVIL
hace 6 meses que estoy solicitando que me cambien o aumenten la velocidad de mi internt ,KGB_VELOCIDAD
Yo tenia una deuda pendiente que pague el dia viernes 16 pero los servicios del plan aun no se reactivan,REINICIO_PLAN
Como puedo contratar Netflix,VENTAS_C2C
puedo compartir minutos con mi otra linea,CONSUMO_MINUTOS_MOVIL
no tengo contraseña para entrar a la sucursal virtual,KGB_REGISTRARSV
como marco del telefono fijo a celular ,KGB_MARCARDENTRODECHILE
Hola quisiera saber si tengo deuda en movistar,DEUDA_FIJO_MOVIL
Mi boleta dice que son 37980,COPIA_BOLETA_FIJO_MOVIL
Hola queiro dar de baja servicio de internet hogar,HANDOVER_BAJA
Necesito dar de baja un servicio,HANDOVER_BAJA
Hola quiero pagar,KGB_QUIEROPAGAR
Hola pague mi cuenta Movistar y aun no se activa me pueden ayudar desde aca ya que no puedo usar la app de Movistar,REINICIO_PLAN
Quiero portarme con un telefono,VENTAS_C2C
Hola necesito pagar la cuenta de wifi y olvide el mumero,KGB_QUIEROPAGAR
Cuanto tengo de saldo,CONSUMO_MINUTOS_MOVIL
Hola quisiera cambiar mi internet de domicilio ya que me cambie de casa,KGB_CAMBIARDOMICILIOSERVFIJO
tengo problemas con modem internet movil,KGB_FUNCWIFIMOVIL
necesito cambiar el modem,KGB_MANUALESBAMOVI
Hola quisiera activar un chip sim,KGB_ACTIVARPREPAGO
No se como activar una tarjeta sim,KGB_ACTIVARPREPAGO
Quiero cambiar mi plan,KGB_SOLCAMBIPLAN
Buenos dias  Tenemos la linea fija numero 228216653 la cual debido al robo de cables no se encuentra operativa  A la fecha tiene una deuda y queremos saber a que corresponde,DEUDA_FIJO_MOVIL
boleta,COPIA_BOLETA_FIJO_MOVIL
Hola quiero cotizar servicio tripack,VENTAS_C2C
Hogar,VENTAS_C2C
como puedo bloquear mi celular que me lo robaron,KGB_BLOQUEARCELIUPERDIROBO
Nesecito saber mi deuda,DEUDA_FIJO_MOVIL
No tengo clave,KGB_CAMBIARPASSWIFIRED
hace unos dias contrate servicio internet y cable el vendedor nos aseguro que por la tardanza en la instalacion tendiamos nuestro primer pago a fin de este mes,REINICIO_PLAN
Ola buenas noxe Kisiera saber cuando se paga elinterne y y cuando se corta  lo recargar de nuevo porfii,REINICIO_PLAN
Me pudes dar la contraseña Para poder tener la aplicacion app,KGB_CAMBIARCLAVESVAPPMOVI
intente cambiar la clave de mi router lo cual provoco que aparescan dos señales diferentes como cambio es,KGB_CAMBIARPASSWIFIRED
Hola quiero contratar  un nuevo decodificador para mi mi television,VENTAS_C2C
quiero trasladar el internet a mi nuevo domicilio,KGB_CAMBIARDOMICILIOSERVFIJO
quiciera saber cual es el valor real que debo cancelar el proximo  mes ,DEUDA_FIJO_MOVIL
necesito hacer cambio de clave de mi internet wifi al momento de hacer la activacion ,KGB_CAMBIARPASSWIFIRED
Hola problema internet hogar,VENTAS_C2C
Hola quiero bajar mi plan de Movistar hogar,VENTAS_C2C
El total de la boleta de este mes,COPIA_BOLETA_FIJO_MOVIL
Puede desirme el total de la boleta del 20 de septiembre,COPIA_BOLETA_FIJO_MOVIL
quiero desactivar mi plan de television,VENTAS_C2C
Hola quiero saber si puedo obtener un equipo,VENTAS_C2C
Consumo de minutos y datos,CONSUMO_MINUTOS_MOVIL
Mi consumo de datos internet,CONSUMO_DATOS_MOVIL
si necesito la boleta,COPIA_BOLETA_FIJO_MOVIL
Hola buenas quisiera saber si tienen internet ilimitado planes hogar,VENTAS_C2C
cual es la velocidad de internet en mi plan,KGB_VELOCIDAD
Con el numero de cliente,KGB_CONOCERNUMEROASOCSERV
Hola mi consulta es que page mi plan y me llega el internet,REINICIO_PLAN
Hola quisiera saber el ultimo detalle de mi boleta del plan,DETALLE_PLAN_FIJO_MOVIL
solicite una visita tecnica y aun no vienen,REINICIO_PLAN
Es nesesario tener una tarjeta de credito para contratar un equipo,VENTAS_C2C
Quiero dar de baja el servicio,HANDOVER_BAJA
Buenas noches quiero consultar sobre renovacion de equipo,DEUDA_FIJO_MOVIL
Quiero saber si para renovar mi equipo debo cambiar de plan,DETALLE_PLAN_FIJO_MOVIL
Quiero,HANDOVER_BAJA
tengo que preguntar por un reclamos que hice ,HANDOVER_RECLAMOS
Me das la ultima boleta,COPIA_BOLETA_FIJO_MOVIL
Quiero contratar otra linea telefonica,VENTAS_C2C
Como activar movistar play,KGB_ACTMOVPLAY
Quiero saber el saldo disponible de minutos en mi plan vigente,CONSUMO_MINUTOS_MOVIL
Contrate movistar play por telefono  como lo activo ,KGB_ACTMOVPLAY
La garantia cubre pantalla rota,KGB_GARANTIACELU
Mi boleta cundo vence,COPIA_BOLETA_FIJO_MOVIL
hola buenas necesito ayuda para poder habilitar mi plan ya que fue suspendido por no pago,REINICIO_PLAN
quiero saber mi usuario y contraseña para abrir los puertos de internet,KGB_CAMBIARPASSWIFIRED
Hola buenas mi nombre es alex sepulveda mi rut 159730182 y mi numero es 322600825,KGB_CONOCERNUMEROASOCSERV
internet muy lento,HANDOVER_RECLAMOS
Cuanto demora en reponer el servicio,KGB_COBROREPOSERVICIO
Nececito mensaje de configuracion de internet,KGB_MANUALESBAMOVI
mi celular fue bloqueado por imei,KGB_CONCERBANDECELU
Hola buen dia quiero dar de baja un servicio correspondiente al N°512360271 El motivo es por lo elevado del servicio Sin embargo si no tienen alguna oferta deseo bajarlo solo a Internet,KGB_CAMBIARPASSWIFIRED
Hola buen dia quiero dar de baja un servicio correspondiente al N°512360271 El motivo es por lo elevado del servicio Sin embargo si no tienen alguna oferta deseo bajarlo solo a Internet,KGB_CAMBIARPASSWIFIRED
Hola buen dia quiero dar de baja un servicio correspondiente al N°512360271 El motivo es por lo elevado del servicio Sin embargo si no tienen alguna oferta deseo bajarlo solo a Internet,KGB_CAMBIARPASSWIFIRED
Hola buen dia quiero dar de baja un servicio correspondiente al N°512360271 El motivo es por lo elevado del servicio Sin embargo si no tienen alguna oferta deseo bajarlo solo a Internet,KGB_CAMBIARPASSWIFIRED
Hola buen dia quiero dar de baja un servicio correspondiente al N°512360271 El motivo es por lo elevado del servicio Sin embargo si no tienen alguna oferta deseo bajarlo solo a Internet,KGB_CAMBIARPASSWIFIRED
Hola buen dia quiero dar de baja un servicio correspondiente al N°512360271 El motivo es por lo elevado del servicio Sin embargo si no tienen alguna oferta deseo bajarlo solo a Internet,KGB_CAMBIARPASSWIFIRED
Hola buen dia quiero dar de baja un servicio correspondiente al N°512360271 El motivo es por lo elevado del servicio Sin embargo si no tienen alguna oferta deseo bajarlo solo a Internet,KGB_CAMBIARPASSWIFIRED
Hola buen dia quiero dar de baja un servicio correspondiente al N°512360271 El motivo es por lo elevado del servicio Sin embargo si no tienen alguna oferta deseo bajarlo solo a Internet,KGB_CAMBIARPASSWIFIRED
Como puedo llamar a movistar desde mi celular,KGB_MARCARDENTRODECHILE
Hola buenas atrdes Internet no esta funcionando en mi departamento hace ya tres dias Mi numero es 322224046 Calle Miraramr 346 depto 2 Cerro Alegre Valparaiso,HANDOVER_RECLAMOS
Sabes que vi mi boleta y llego por un monto superior al que corresponde Podrias indicarme a que se debe,COPIA_BOLETA_FIJO_MOVIL
denante se deconecto el internet,CONSUMO_DATOS_MOVIL
resulta que el numero 569 99050903,KGB_CAMBIONUMTELEFONO
Hola queria ver si es posible anular un servicio,VENTAS_C2C
Lo que pasa es que tengo un plan en Entel y quisiera saber si hago una portabilidad a Movistar tengo la posibilidad de adquirir un celular,KGB_MOVIL
Hola mi nombre es camila la semana pasada confirme portabilidad de mi nunero telefonico con equipo me dijieron que entre viernes y sabado vendrian a dejarme equipo y el nuevo chip,KGB_CAMBIARPASSWIFIRED
Al tener mi plan cortado y pagando la boleta mas atrasada me activarian el olan,COPIA_BOLETA_FIJO_MOVIL
me enviaron una encuesta de la empresa movistar que era una delas 100 usuarios seleccionados ganar samsung galacy s10 on stedes es falsa informacion,KGB_CAMBIARPASSWIFIRED
Activar un ruming,KGB_ACTIVARPREPAGO
Necesito saber si se puede renovar equipo antes de cumplir las 18 cuotas,KGB_COMPRAREQUIPOMOVICL
me aparece una deuda hogar,DEUDA_FIJO_MOVIL
me aparece una deuda hogar,DEUDA_FIJO_MOVIL
me aparece una deuda hogar,DEUDA_FIJO_MOVIL
me aparece una deuda hogar,DEUDA_FIJO_MOVIL
Necesito solicitar mi chip,KGB_COMPRARCHIPMOVI
deuda hogar,DEUDA_FIJO_MOVIL
hola mi cel se cayo al agua creo q quiero cambiarlo,KGB_CELULARFALLANDO
